ks,hs,Gs_exact,E_estimate
0.15151515151515152,1.75,(-15.958615151263727+1.0411707858106928e-15j),(-15.964172571424333-0.0014344659836746313j)
0.18181818181818182,1.75,(-15.907431612508065+1.6323822002158918e-15j),(-15.911049335078241+0.0005028073560342691j)
0.21212121212121213,1.75,(-15.846271113181862+4.3695852032572e-15j),(-15.845803397617859-0.0021439251078962905j)
0.24242424242424243,1.75,(-15.77475689409049-5.627720610048753e-15j),(-15.774487273885235-0.0026897041151104704j)
0.2727272727272727,1.75,(-15.692416743625635+1.764150687878962e-15j),(-15.696802244241923-0.005498685367732015j)
0.30303030303030304,1.75,(-15.598659829135151-1.7727519118371181e-15j),(-15.60114787103916-0.00245647357460011j)
0.33333333333333337,1.75,(-15.492743467829985-2.117486200806247e-15j),(-15.488023251706208-0.006323165099789311j)
0.36363636363636365,1.75,(-15.373724176064744-5.25654422445755e-15j),(-15.37376012161549+0.004116712011374028j)
0.3939393939393939,1.75,(-15.240382936305107+2.2483477109914265e-16j),(-15.247040091505024+0.004667505687895401j)
0.42424242424242425,1.75,(-15.091105679933836-2.7253357744879723e-15j),(-15.086964984463778+0.0018264626141456552j)
